ticker,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ABB,268,211,,,,,,,,,,,,,
ADANIENSOL,,,,0,-5,480,532,1472,840,1107,1620,1700,1712,1780,1075
ADANIENT,,,,1614,2663,1056,1079,487,459,1122,1086,952,3247,4926,10466
ADANIGREEN,,,,,,,-184,-210,-585,-50,193,553,1426,1671,1771
ADANIPORTS,,,,1978,2501,3119,4179,5234,5126,4244,6292,5717,5487,9639,13030
ADANIPOWER,,,,-1370,-816,375,-6260,-2079,-976,-2265,2289,6577,7675,20792,16360
AMBUJACEM,,,1498,1774,1173,2008,2768,2919,3875,3992,5164,,3729,5901,5922
APOLLOHOSP,,,399,407,455,332,222,171,373,660,221,1578,1144,1362,
ASIANPAINT,,,,1834,2077,2614,2960,3138,3306,3629,4304,4188,5689,7348,5103
AXISBANK,,,,9479,11283,12690,5954,566,7592,5280,9750,18929,18621,35178,36722
BAJAJ-AUTO,,,4277,4655,4083,5679,5588,5933,6956,6692,6241,7652,7842,10040,
BAJAJFINSV,,,,2902,3251,3804,4925,6099,8155,8302,9862,11271,16811,21375,23748
BAJAJHLDNG,,,322,400,513,430,630,2739,3170,3314,3766,4226,5012,7493,
BAJFINANCE,,,,,1357,1965,2817,3843,6179,7322,5992,9504,15528,19310,22080
BANKBARODA,,,,5996,5983,-6233,3024,-2106,1525,-1234,6373,10008,20565,25799,27619
BEL,,,,1206,1513,1764,1983,1957,2628,2478,2942,3166,3923,5266,7099
BHARTIARTL,,,,7864,10540,12846,7723,3267,-1732,-42846,-3432,12483,16561,12679,38398
BOSCHLTD,,,,,,2102,2391,2041,2339,985,565,1500,1882,3181,
BPCL,,,,6166,7690,12132,13700,14174,12905,3652,22432,16037,2821,36194,18182
BRITANNIA,,,,569,950,1220,1304,1518,1768,1844,2514,2078,3033,2913,2927
CANBK,,,,3242,3683,-2914,1746,-6408,-2111,-1514,3882,9145,14427,20000,23025
CGPOWER,,,,495,12,-394,-463,-613,-475,-1407,1427,1035,1169,1715,1348
CHOLAFIN,,,,554,666,879,1107,1401,1832,1588,2048,2908,3615,4605,5744
CIPLA,,,,1880,1654,1727,1222,1669,2079,2178,3290,3493,4038,5702,6821
COALINDIA,,,,22880,21584,21440,14446,10770,27127,24071,18009,23616,43275,48813,46966
DABUR,,,,1136,1319,1554,1611,1693,1725,1728,2056,2269,2219,2359,2258
DIVISLAB,,,,991,1072,1393,1395,1231,1855,1819,2666,3684,2369,2163,2916
DLF,,,802,500,668,1026,1030,8615,646,653,840,1165,1502,2151,
DMART,,,,245,323,492,747,1222,1422,1745,1483,2064,3060,3461,3673
DRREDDY,,,,2646,2900,2859,1554,1350,2336,1886,2884,3061,6048,7201,7680
EICHERMOT,,,671,993,,1877,2433,3116,3297,2355,1798,2203,3800,5202,5933
GAIL,,,,6922,4492,2949,5183,6928,9831,10429,7725,15464,7256,12595,16096
GODREJCP,,,,1030,1249,1167,1687,2039,2085,1760,2080,2155,2133,198,2672
GRASIM,,,5171,3586,3443,4679,5952,5635,5163,6554,10009,13143,14727,13700,
HAL,,,,,3191,3213,3592,3243,3725,3979,4283,5225,6510,10225,10867
HAVELLS,,,,594,569,1520,723,965,1147,904,1438,1607,1447,1707,1990
HCLTECH,,,,7917,9117,7041,10542,11024,12622,13980,15853,16951,19488,20967,23261
HDFCBANK,,,,13211,16079,19511,23393,28464,34318,38195,42796,50873,61498,76569,96242
HDFCLIFE,,,,794,924,1008,1061,1300,1291,1463,1629,1487,1441,977,1290
HEROMOTOCO,,,,2864,3292,4387,4885,5292,5104,4611,3849,3058,3864,5090,5934
HINDALCO,,,3909,2653,340,-203,3315,8157,8083,5924,6206,19103,13241,14012,
HINDUNILVR,,,,5215,6320,6026,6467,7306,8604,9165,10605,11879,13344,13926,14415
ICICIBANK,,,,16282,18334,14304,13809,10978,7408,18589,26028,34241,46256,60434,72854
ICICIPRULI,,,,1572,1642,1842,1863,1839,1274,1198,1219,961,1085,1028,1582
INDHOTEL,,,,-412,-232,-91,31,184,402,396,-850,-258,1295,1666,2578
INDIGO,,,,,,,2144,3127,-147,-256,-5818,-6154,-304,8049,
INDUSINDBK,,,,,,3469,4360,5481,4980,6177,3929,6433,9932,11979,
INFY,,,,14728,17284,18740,19951,20270,21041,22007,26628,30110,33322,35988,37608
IOC,,,,9978,7014,18072,27956,34450,25927,-7177,30751,34289,15038,57288,17063
ITC,,,11106,13052,14362,14859,16026,17409,19150,20035,17938,20740,25915,27140,
JINDALSTEL,,,,2512,-1543,-3964,-3043,-1864,-2802,-291,6078,9690,5266,6241,4344
JSWENERGY,,,,1060,1892,2017,892,338,897,544,1099,2238,1943,2167,2214
JSWSTEEL,,,1999,1308,2539,-2468,5128,7651,11168,3013,12015,29745,5655,13380,
KOTAKBANK,,,,3695,4550,5024,7332,9158,10576,11422,13168,15948,19646,23863,28989
LODHA,,,,725,1269,1198,1001,1182,2489,1003,33,1716,452,2028,3556
LT,,,,7483,7217,8020,8887,11639,14305,14086,16918,14495,17109,20517,23579
LTIM,,,,1204,936,1035,1236,1442,2028,2003,2588,5294,5792,6049,6214
M&M,,,,5820,4313,5672,6350,10326,8871,1655,3158,9362,14060,15978,19080
MARUTI,,,,3734,4976,7585,10127,11167,10624,7103,5321,4697,10438,17424,19620
MOTHERSON,,,834,1596,1817,2293,3083,3267,3200,1983,1500,1788,2405,3840,
NAUKRI,,,130,120,60,175,5,585,716,-126,1602,14200,141,878,
NESTLEIND,,,,,,,,,,,,,4038,,4316
NTPC,,,16611,14486,10456,10618,13426,16154,11255,21250,17390,22007,23917,28142,
ONGC,,,36742,39413,27370,20052,41718,39208,54846,18962,30126,54091,43051,76860,
PFC,,,5994,7624,8446,9167,5264,11779,17862,14093,19891,23382,26496,33588,
PIDILITIND,,,,612,678,1141,1248,1359,1342,1470,1522,1614,1723,2379,2823
PNB,,,,4969,4397,-5293,1540,-19849,-15370,827,4325,4826,5151,14160,26053
POWERGRID,,,5776,6359,6404,7572,9457,13471,9147,14590,15501,19610,17702,18514,
RECLTD,,,,6617,7552,8147,8972,5958,8090,7030,10780,12431,13898,17960,20117
RELIANCE,,,,28763,31114,38737,40034,49426,55227,53606,55461,83815,94464,104727,106017
SBIN,,,,21326,25855,18177,945,-12245,5220,30317,32796,49739,75399,91240,106365
SHREECEM,,,,815,401,1176,1531,1827,1146,1934,3004,2892,1495,2959,1312
SHRIRAMFIN,,,,1970,1650,1789,1938,3896,3778,3439,3278,3549,8214,9960,12644
SIEMENS,1290,,,844,1688,3938,1669,1402,1678,1036,1452,1993,2640,3639,
SUNPHARMA,,,4315,4581,6403,6571,9048,3479,3810,5010,2799,4481,9408,11088,
TATACONSUM,,,,707,500,170,662,753,735,809,1311,1456,1794,1696,1777
TATAMOTORS,,,,18869,21703,14126,9315,11155,-31371,-10580,-10474,-7003,3394,27955,38651
TATAPOWER,,,,975,1484,1281,1450,2773,3693,1958,1941,2535,5457,5732,6320
TATASTEEL,,,,6722,-1388,193,-1391,21135,15841,-1395,13844,50227,18235,-1147,8413
TCS,,,,25402,26298,31840,34513,34092,41563,42248,43760,51687,56907,61997,65331
TECHM,,,,3815,3618,3857,3853,4879,5543,5058,5953,7452,6446,3224,5653
TITAN,,,,1010,1049,868,973,1530,1957,2102,1327,2904,4447,4623,4535
TORNTPHARM,,,582,844,940,2343,1088,931,562,1187,1526,1226,1847,2352,
TRENT,,,,1,200,90,128,147,168,165,-205,111,552,1921,2030
TVSMOTOR,,,,307,444,580,658,931,1083,865,822,1067,1936,2703,3535
ULTRACEMCO,,,,2858,2986,3421,3872,3301,3468,5183,8001,8524,7416,9422,7528
UNITDSPR,,,73,-4213,-1635,366,163,912,1012,1160,540,1087,1279,1857,
VBL,,,-46,4,191,79,291,434,696,363,1007,2024,2739,3433,
VEDL,,,,9493,-9925,-28540,13652,19569,13560,-8259,17213,32964,20276,20363,26877
WIPRO,,,,10114,11224,11494,11039,10242,11542,12252,13903,15141,14766,14721,17496
ZYDUSLIFE,,,809,942,1446,2099,1612,2312,2382,1495,2331,5084,2585,4832,
